Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Characteristics [growth condition]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]	FactorValue[time]	Unit [time unit]
GSM1318517 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	wild type	hyb13007.CEL; Col0_0h_2	WT_0h after switch to ambient CO2 conc.	WT; 0h after switch to ambient CO2 concentrations; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318517 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318517 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318517	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318517_hyb13007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318517_sample_table.txt norm	GSM1318517_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	transferred to ambient CO2 concentration	0	hour
GSM1318508 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	wild type	hyb12998.CEL; Col0_0h_1	WT_0h after switch to ambient CO2 conc.	WT; 0h after switch to ambient CO2 concentrations; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318508 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318508 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318508	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318508_hyb12998.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318508_sample_table.txt norm	GSM1318508_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	transferred to ambient CO2 concentration	0	hour
GSM1318527 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	wild type	hyb13017.CEL; Col_8h_a3	WT_8h after switch to ambient CO2 conc.	WT; 8h after switch to ambient CO2 concentrations; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318527 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318527 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318527	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318527_hyb13017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318527_sample_table.txt norm	GSM1318527_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	transferred to ambient CO2 concentration	8	hour
GSM1318518 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	wild type	hyb13008.CEL; Col_8h_a2	WT_8h after switch to ambient CO2 conc.	WT; 8h after switch to ambient CO2 concentrations; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318518 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318518 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318518	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318518_hyb13008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318518_sample_table.txt norm	GSM1318518_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	transferred to ambient CO2 concentration	8	hour
GSM1318509 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	wild type	hyb12999.CEL; Col_8h_a1	WT_8h after switch to ambient CO2 conc.	WT; 8h after switch to ambient CO2 concentrations; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318509 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318509 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318509	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318509_hyb12999.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318509_sample_table.txt norm	GSM1318509_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	transferred to ambient CO2 concentration	8	hour
GSM1318528 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	continuously maintained in high CO2	wild type	hyb13018.CEL; Col_8h_c3	WT_harvested at 8h, continiously maintained in high CO2	WT; harvested at 8h, continiously maintained in high CO2; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318528 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318528 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318528	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318528_hyb13018.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318528_sample_table.txt norm	GSM1318528_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	continuously maintained in high CO2	8	hour
GSM1318519 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	continuously maintained in high CO2	wild type	hyb13009.CEL; Col_8h_c2	WT_harvested at 8h, continiously maintained in high CO2	WT; harvested at 8h, continiously maintained in high CO2; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318519 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318519 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318519	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318519_hyb13009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318519_sample_table.txt norm	GSM1318519_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	continuously maintained in high CO2	8	hour
GSM1318510 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	continuously maintained in high CO2	wild type	hyb13000.CEL; Col_8h_c1	WT_harvested at 8h, continiously maintained in high CO2	WT; harvested at 8h, continiously maintained in high CO2; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318510 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318510 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318510	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318510_hyb13000.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318510_sample_table.txt norm	GSM1318510_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	wild type	continuously maintained in high CO2	8	hour
GSM1318532 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	glycolate oxidase overexpression in chloroplasts	hyb13022.CEL; G05_0h_3	GO5_0h after switch to ambient CO2 conc.	GO5; 0h after switch to ambient CO2 concentrations; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318532 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318532 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318532	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318532_hyb13022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318532_sample_table.txt norm	GSM1318532_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	GO overexpression	transferred to ambient CO2 concentration	0	hour
GSM1318523 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	glycolate oxidase overexpression in chloroplasts	hyb13013.CEL; G05_0h_2	GO5_0h after switch to ambient CO2 conc.	GO5; 0h after switch to ambient CO2 concentrations; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318523 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318523 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318523	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318523_hyb13013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318523_sample_table.txt norm	GSM1318523_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	GO overexpression	transferred to ambient CO2 concentration	0	hour
GSM1318514 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	glycolate oxidase overexpression in chloroplasts	hyb13004.CEL; G05_0h_1	GO5_0h after switch to ambient CO2 conc.	GO5; 0h after switch to ambient CO2 concentrations; biological rep 1	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318514 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318514 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318514	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318514_hyb13004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318514_sample_table.txt norm	GSM1318514_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	GO overexpression	transferred to ambient CO2 concentration	0	hour
GSM1318533 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	glycolate oxidase overexpression in chloroplasts	hyb13023.CEL; G05_8h_a3	GO5_8h after switch to ambient CO2 conc.	GO5; 8h after switch to ambient CO2 concentrations; biological rep 3	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318533 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318533 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318533	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318533_hyb13023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318533_sample_table.txt norm	GSM1318533_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	GO overexpression	transferred to ambient CO2 concentration	8	hour
GSM1318524 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	week	rosette	transferred to ambient CO2 concentration	glycolate oxidase overexpression in chloroplasts	hyb13014.CEL; G05_8h_a2	GO5_8h after switch to ambient CO2 conc.	GO5; 8h after switch to ambient CO2 concentrations; biological rep 2	P-GSE54534-2	ArrayExpress	P-GSE54534-3	ArrayExpress	P-GSE54534-4	ArrayExpress	GSM1318524 extract 1	total RNA	P-GSE54534-5	ArrayExpress	GSM1318524 LE 1	biotin	P-GSE54534-6	ArrayExpress	GSM1318524	A-AFFY-2	ArrayExpress	array assay	P-GSE54534-7	ArrayExpress	GSM1318524_hyb13014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.raw.1.zip	P-GSE54534-1	ArrayExpress	GSM1318524_sample_table.txt norm	GSM1318524_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54534/E-GEOD-54534.processed.1.zip	GO overexpression	transferred to ambient CO2 concentration	8	hour
