Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE4973GSM112229	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112229 sample	P-G4973-4	GSE4973GSM112229 extract	total_RNA	P-G4973-3	GSE4973GSM112229 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- Aphid+ rep4	A-AFFY-2	Pseudomonas - UV- Aphid+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112260	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112260 sample	P-G4973-4	GSE4973GSM112260 extract	total_RNA	P-G4973-3	GSE4973GSM112260 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Aphid+ rep5	A-AFFY-2	Pseudomonas + UV+ Aphid+ rep5	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112261	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas and UV-B treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas and UV-B treated	P-G4973-1	P-G4973-2	GSE4973GSM112261 sample	P-G4973-4	GSE4973GSM112261 extract	total_RNA	P-G4973-3	GSE4973GSM112261 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ rep1	A-AFFY-2	Pseudomonas + UV+ rep1	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112223	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112223 sample	P-G4973-4	GSE4973GSM112223 extract	total_RNA	P-G4973-3	GSE4973GSM112223 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Caterpillar+ rep3	A-AFFY-2	Pseudomonas - UV+ Caterpillar+ rep3	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112222	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112222 sample	P-G4973-4	GSE4973GSM112222 extract	total_RNA	P-G4973-3	GSE4973GSM112222 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Caterpillar+ rep2	A-AFFY-2	Pseudomonas - UV+ Caterpillar+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112253	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112253 sample	P-G4973-4	GSE4973GSM112253 extract	total_RNA	P-G4973-3	GSE4973GSM112253 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- Caterpillar+ rep3	A-AFFY-2	Pseudomonas + UV- Caterpillar+ rep3	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112270	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112270 sample	P-G4973-4	GSE4973GSM112270 extract	total_RNA	P-G4973-3	GSE4973GSM112270 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Caterpillar+ rep5	A-AFFY-2	Pseudomonas + UV+ Caterpillar+ rep5	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112214	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112214 sample	P-G4973-4	GSE4973GSM112214 extract	total_RNA	P-G4973-3	GSE4973GSM112214 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Aphid+ rep4	A-AFFY-2	Pseudomonas - UV+ Aphid+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112267	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112267 sample	P-G4973-4	GSE4973GSM112267 extract	total_RNA	P-G4973-3	GSE4973GSM112267 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Caterpillar+ rep2	A-AFFY-2	Pseudomonas + UV+ Caterpillar+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112212	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112212 sample	P-G4973-4	GSE4973GSM112212 extract	total_RNA	P-G4973-3	GSE4973GSM112212 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Aphid+ rep2	A-AFFY-2	Pseudomonas - UV+ Aphid+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112221	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112221 sample	P-G4973-4	GSE4973GSM112221 extract	total_RNA	P-G4973-3	GSE4973GSM112221 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Caterpillar+ rep1	A-AFFY-2	Pseudomonas - UV+ Caterpillar+ rep1	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112211	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112211 sample	P-G4973-4	GSE4973GSM112211 extract	total_RNA	P-G4973-3	GSE4973GSM112211 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Aphid+ rep1	A-AFFY-2	Pseudomonas - UV+ Aphid+ rep1	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112235	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf	P-G4973-1	P-G4973-2	GSE4973GSM112235 sample	P-G4973-4	GSE4973GSM112235 extract	total_RNA	P-G4973-3	GSE4973GSM112235 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- rep5	A-AFFY-2	Pseudomonas - UV- rep5	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112257	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112257 sample	P-G4973-4	GSE4973GSM112257 extract	total_RNA	P-G4973-3	GSE4973GSM112257 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Aphid+ rep2	A-AFFY-2	Pseudomonas + UV+ Aphid+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112259	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas, UV-B and aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas, UV-B and aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112259 sample	P-G4973-4	GSE4973GSM112259 extract	total_RNA	P-G4973-3	GSE4973GSM112259 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV+ Aphid+ rep4	A-AFFY-2	Pseudomonas + UV+ Aphid+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112239	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112239 sample	P-G4973-4	GSE4973GSM112239 extract	total_RNA	P-G4973-3	GSE4973GSM112239 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- Caterpillar+ rep4	A-AFFY-2	Pseudomonas - UV- Caterpillar+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112250	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas treated	P-G4973-1	P-G4973-2	GSE4973GSM112250 sample	P-G4973-4	GSE4973GSM112250 extract	total_RNA	P-G4973-3	GSE4973GSM112250 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- rep5	A-AFFY-2	Pseudomonas + UV- rep5	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112224	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, UV-B and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, UV-B and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112224 sample	P-G4973-4	GSE4973GSM112224 extract	total_RNA	P-G4973-3	GSE4973GSM112224 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV+ Caterpillar+ rep4	A-AFFY-2	Pseudomonas - UV+ Caterpillar+ rep4	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112227	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, aphid treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, aphid treated	P-G4973-1	P-G4973-2	GSE4973GSM112227 sample	P-G4973-4	GSE4973GSM112227 extract	total_RNA	P-G4973-3	GSE4973GSM112227 LE biotin	biotin	synthetic_RNA	Pseudomonas - UV- Aphid+ rep2	A-AFFY-2	Pseudomonas - UV- Aphid+ rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112255	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas and caterpillar treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas and caterpillar treated	P-G4973-1	P-G4973-2	GSE4973GSM112255 sample	P-G4973-4	GSE4973GSM112255 extract	total_RNA	P-G4973-3	GSE4973GSM112255 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- Caterpillar+ rep5	A-AFFY-2	Pseudomonas + UV- Caterpillar+ rep5	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
GSE4973GSM112247	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis thaliana leaf, Pseudomonas treated:  Gene expression data from aphid infested, UV-B treated Arabidopsis thaliana. Ecotype: COL4 (NASC N933); Age: 44 days	Ecotype: COL4 (NASC N933); Age: 44 days	Arabidopsis thaliana leaf, Pseudomonas treated	P-G4973-1	P-G4973-2	GSE4973GSM112247 sample	P-G4973-4	GSE4973GSM112247 extract	total_RNA	P-G4973-3	GSE4973GSM112247 LE biotin	biotin	synthetic_RNA	Pseudomonas + UV- rep2	A-AFFY-2	Pseudomonas + UV- rep2	E-GEOD-4973-processed-data-1697100588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4973/E-GEOD-4973.processed.1.zip
